Index;Text;Cause;Effect;Offset_Sentence2;Offset_Sentence3;Cause_Start;Cause_End;Effect_Start;Effect_End;Sentence
0001.00005.1;The Sunshine State drew in a net influx of about $17.7 billion in adjusted gross income (AGI)  -  most of which (72 percent) came from those aged 55 and older. It is consistently one of the most popular destinations for retirees due to affordability and low taxes. Florida's $17.7 billion in net AGI dwarves the remaining 19 states that saw a positive net influx of income  -  which combined for a total of $19.4 billion.;It is consistently one of the most popular destinations for retirees due to affordability and low taxes.;The Sunshine State drew in a net influx of about $17.7 billion in adjusted gross income (AGI)  -  most of which (72 percent) came from those aged 55 and older.;159.0;264.0;160;264;0;159;<e2>The Sunshine State drew in a net influx of about $17.7 billion in adjusted gross income (AGI)  -  most of which (72 percent) came from those aged 55 and older.</e2> <e1>It is consistently one of the most popular destinations for retirees due to affordability and low taxes.</e1> Florida's $17.7 billion in net AGI dwarves the remaining 19 states that saw a positive net influx of income  -  which combined for a total of $19.4 billion.
0001.00005.2;The Sunshine State drew in a net influx of about $17.7 billion in adjusted gross income (AGI)  -  most of which (72 percent) came from those aged 55 and older. It is consistently one of the most popular destinations for retirees due to affordability and low taxes. Florida's $17.7 billion in net AGI dwarves the remaining 19 states that saw a positive net influx of income  -  which combined for a total of $19.4 billion.;It is consistently one of the most popular destinations for retirees due to affordability and low taxes.;Florida's $17.7 billion in net AGI dwarves the remaining 19 states that saw a positive net influx of income  -  which combined for a total of $19.4 billion.;159.0;264.0;160;264;265;421;The Sunshine State drew in a net influx of about $17.7 billion in adjusted gross income (AGI)  -  most of which (72 percent) came from those aged 55 and older. <e1>It is consistently one of the most popular destinations for retirees due to affordability and low taxes.</e1> <e2>Florida's $17.7 billion in net AGI dwarves the remaining 19 states that saw a positive net influx of income  -  which combined for a total of $19.4 billion.</e2>
0001.00007;Florida is unique in that it also draws a large proportion of higher net-worth individuals  -  more than 85 percent of its net inflow of income came from people earning at least six-figures.;Florida is unique in that it also draws a large proportion of higher net-worth individuals;more than 85 percent of its net inflow of income came from people earning at least six-figures.;;;0;90;95;190;<e1>Florida is unique in that it also draws a large proportion of higher net-worth individuals</e1>  -  <e2>more than 85 percent of its net inflow of income came from people earning at least six-figures.</e2>
0001.00009;Connecticut, Pennsylvania, New Jersey, Illinois and New York lost about half of their income from people earning more than $200,000  -  indicating the wealthy were picking up and leaving.;the wealthy were picking up and leaving.;Connecticut, Pennsylvania, New Jersey, Illinois and New York lost about half of their income from people earning more than $200,000;;;147;187;0;131;<e2>Connecticut, Pennsylvania, New Jersey, Illinois and New York lost about half of their income from people earning more than $200,000</e2>  -  indicating <e1>the wealthy were picking up and leaving.</e1>
0001.00011;CLICK HERE TO GET THE FOX BUSINESS APP  Data from the U.S. Census Bureau showed that while Florida received more movers than any other state last year, New York's outflows to the Sunshine State were the highest  -  63,772 people.;CLICK HERE TO GET THE FOX BUSINESS APP  Data from the U.S. Census Bureau showed that while Florida received more movers than any other state last year;New York's outflows to the Sunshine State were the highest  -  63,772 people.;;;0;150;152;229;<e1>CLICK HERE TO GET THE FOX BUSINESS APP  Data from the U.S. Census Bureau showed that while Florida received more movers than any other state last year</e1>, <e2>New York's outflows to the Sunshine State were the highest  -  63,772 people.</e2>
0001.00012;New York had the third-largest outflows of any state, with 452,580 people moving out within the past year. Individuals earning $650,000 can save more than $69,700 in taxes per year by moving from New York to Florida.;Individuals earning $650,000 can save more than $69,700 in taxes per year by moving from New York to Florida.;New York had the third-largest outflows of any state, with 452,580 people moving out within the past year.;106.0;;107;216;0;106;<e2>New York had the third-largest outflows of any state, with 452,580 people moving out within the past year.</e2> <e1>Individuals earning $650,000 can save more than $69,700 in taxes per year by moving from New York to Florida.</e1>
0003.00004;The stock increased 1.02% or $0.23 during the last trading session, reaching $22.69.;The stock increased 1.02% or $0.23 during the last trading session;reaching $22.69.;;;0;66;68;84;<e1>The stock increased 1.02% or $0.23 during the last trading session</e1>, <e2>reaching $22.69.</e2>
0003.00006;(NASDAQ:SBRA) has declined 1.62% since September 21, 2018 and is downtrending. It has underperformed by 1.62% the S&P500.;It has underperformed by 1.62% the S&P500.;(NASDAQ:SBRA) has declined 1.62% since September 21, 2018 and is downtrending.;78.0;;79;121;0;78;<e2>(NASDAQ:SBRA) has declined 1.62% since September 21, 2018 and is downtrending.</e2> <e1>It has underperformed by 1.62% the S&P500.</e1>
0003.00008;The stock decreased 0.54% or $0.15 during the last trading session, reaching $27.64.;The stock decreased 0.54% or $0.15 during the last trading session;reaching $27.64.;;;0;66;68;84;<e1>The stock decreased 0.54% or $0.15 during the last trading session</e1>, <e2>reaching $27.64.</e2>
0003.00010;Weyerhaeuser Company (NYSE:WY) has declined 25.53% since September 21, 2018 and is downtrending. It has underperformed by 25.53% the S&P500.;It has underperformed by 25.53% the S&P500.;Weyerhaeuser Company (NYSE:WY) has declined 25.53% since September 21, 2018 and is downtrending.;96.0;;97;140;0;96;<e2>Weyerhaeuser Company (NYSE:WY) has declined 25.53% since September 21, 2018 and is downtrending.</e2> <e1>It has underperformed by 25.53% the S&P500.</e1>
0003.00015;After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter, Wall Street now forecasts 2.17% EPS growth.;After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter;Wall Street now forecasts 2.17% EPS growth.;;;0;88;90;133;<e1>After $0.46 actual EPS reported by Sabra Health Care REIT, Inc. for the previous quarter</e1>, <e2>Wall Street now forecasts 2.17% EPS growth.</e2>
0003.00016;Investors sentiment increased to 1.25 in Q2 2019. Its up 0.38, from 0.87 in 2019Q1. It increased, as 23 investors sold SBRA shares while 68 reduced holdings.;Investors sentiment increased to 1.25 in Q2 2019.;It increased, as 23 investors sold SBRA shares while 68 reduced holdings.;49.0;83.0;0;49;84;157;<e1>Investors sentiment increased to 1.25 in Q2 2019.</e1> Its up 0.38, from 0.87 in 2019Q1. <e2>It increased, as 23 investors sold SBRA shares while 68 reduced holdings.</e2>
0003.00039;Investors sentiment decreased to 1.02 in 2019 Q2. Its down 0.11, from 1.13 in 2019Q1. It worsened, as 43 investors sold WY shares while 242 reduced holdings.;Investors sentiment decreased to 1.02 in 2019 Q2.;It worsened, as 43 investors sold WY shares while 242 reduced holdings.;49.0;85.0;0;49;86;157;<e1>Investors sentiment decreased to 1.02 in 2019 Q2.</e1> Its down 0.11, from 1.13 in 2019Q1. <e2>It worsened, as 43 investors sold WY shares while 242 reduced holdings.</e2>
0004.00001;Thomas Cook  Thomas Cook collapses, stranding 150,000 UK holidaymakers About 9,000 British jobs at risk after last-minute rescue talks fail to keep firm afloat  Simon Goodley, Kalyeena Makortoff and Caroline Bannock  Thomas Cook bosses held talks on Sunday to avert administration but it was declared bust at 2am.;Simon Goodley, Kalyeena Makortoff and Caroline Bannock  Thomas Cook bosses held talks on Sunday to avert administration but it was declared bust at 2am.;Thomas Cook  Thomas Cook collapses, stranding 150,000 UK holidaymakers About 9,000 British jobs at risk after last-minute rescue talks fail to keep firm afloat;;;161;313;0;159;<e2>Thomas Cook  Thomas Cook collapses, stranding 150,000 UK holidaymakers About 9,000 British jobs at risk after last-minute rescue talks fail to keep firm afloat</e2>  <e1>Simon Goodley, Kalyeena Makortoff and Caroline Bannock  Thomas Cook bosses held talks on Sunday to avert administration but it was declared bust at 2am.</e1>
0004.00002;Photograph: Christopher Thomond/The Guardian  Thomas Cook has ceased trading after talks failed to produce a funding lifeline for the ailing travel company, placing 9,000 British jobs at risk and triggering a huge repatriation effort to bring home 150,000 UK holidaymakers overseas.;Photograph: Christopher Thomond/The Guardian  Thomas Cook has ceased trading after talks failed to produce a funding lifeline for the ailing travel company;placing 9,000 British jobs at risk and triggering a huge repatriation effort to bring home 150,000 UK holidaymakers overseas.;;;0;155;157;282;<e1>Photograph: Christopher Thomond/The Guardian  Thomas Cook has ceased trading after talks failed to produce a funding lifeline for the ailing travel company</e1>, <e2>placing 9,000 British jobs at risk and triggering a huge repatriation effort to bring home 150,000 UK holidaymakers overseas.</e2>
0004.00017;The total cost of holidaymakers' guarantees to be paid by the Atol scheme  -  underwritten by the Civil Aviation Authority watchdog  -  is an estimated £600m now that the company has gone bust.;the company has gone bust.;The total cost of holidaymakers' guarantees to be paid by the Atol scheme  -  underwritten by the Civil Aviation Authority watchdog  -  is an estimated £600m;;;167;193;0;157;<e2>The total cost of holidaymakers' guarantees to be paid by the Atol scheme  -  underwritten by the Civil Aviation Authority watchdog  -  is an estimated £600m</e2> now that <e1>the company has gone bust.</e1>
0004.00021;Addressing the temperance meeting, he suggested that a train be hired to carry the movement's supporters to the next meeting in Loughborough. Thus, on 5 July 1841, some 500 passengers travelled by a special train for the 24-mile round trip, paying a shilling apiece.;Addressing the temperance meeting, he suggested that a train be hired to carry the movement's supporters to the next meeting in Loughborough.;Thus, on 5 July 1841, some 500 passengers travelled by a special train for the 24-mile round trip, paying a shilling apiece.;141.0;;0;141;142;266;<e1>Addressing the temperance meeting, he suggested that a train be hired to carry the movement's supporters to the next meeting in Loughborough.</e1> <e2>Thus, on 5 July 1841, some 500 passengers travelled by a special train for the 24-mile round trip, paying a shilling apiece.</e2>
0004.00042;After the war, sales took off again with the era of package holidays. By 1950, more than a million Britons were travelling abroad each year, mainly to France, Italy, Spain and Switzerland.;After the war, sales took off again with the era of package holidays.;By 1950, more than a million Britons were travelling abroad each year, mainly to France, Italy, Spain and Switzerland.;69.0;;0;69;70;188;<e1>After the war, sales took off again with the era of package holidays.</e1> <e2>By 1950, more than a million Britons were travelling abroad each year, mainly to France, Italy, Spain and Switzerland.</e2>
0004.00044;In 2007, it merged with the UK-listed owner of Airtours, MyTravel Group, which nearly collapsed in 2011 but was bailed out by its banks. The rescue left Thomas Cook with a debt burden of £1.7bn and the company struggled to cope, leaving administration as the only option.;In 2007, it merged with the UK-listed owner of Airtours, MyTravel Group, which nearly collapsed in 2011 but was bailed out by its banks.;The rescue left Thomas Cook with a debt burden of £1.7bn and the company struggled to cope, leaving administration as the only option.;136.0;;0;136;137;271;<e1>In 2007, it merged with the UK-listed owner of Airtours, MyTravel Group, which nearly collapsed in 2011 but was bailed out by its banks.</e1> <e2>The rescue left Thomas Cook with a debt burden of £1.7bn and the company struggled to cope, leaving administration as the only option.</e2>
0005.00001;iShares US Preferred Stock ETF (NASDAQ:PFF) Shares Bought by Security National Bank of Sioux City Iowa IA .3% during the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The firm owned 17,714 shares of the company's stock after buying an additional 1,355 shares during the quarter.;iShares US Preferred Stock ETF (NASDAQ:PFF) Shares Bought by Security National Bank of Sioux City Iowa IA .3% during the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission.;The firm owned 17,714 shares of the company's stock after buying an additional 1,355 shares during the quarter.;233.0;;0;233;234;345;<e1>iShares US Preferred Stock ETF (NASDAQ:PFF) Shares Bought by Security National Bank of Sioux City Iowa IA .3% during the 2nd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission.</e1> <e2>The firm owned 17,714 shares of the company's stock after buying an additional 1,355 shares during the quarter.</e2>
0005.00003;Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter. Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.;Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter.;Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.;112.0;;0;112;113;253;<e1>Laurel Wealth Advisors LLC increased its holdings in iShares US Preferred Stock ETF by 75.0% in the 1st quarter.</e1> <e2>Laurel Wealth Advisors LLC now owns 700 shares of the company's stock worth $26,000 after buying an additional 300 shares during the period.</e2>
0005.00007;Finally, First PREMIER Bank increased its holdings in iShares US Preferred Stock ETF by 175.2% in the 2nd quarter. First PREMIER Bank now owns 1,365 shares of the company's stock worth $50,000 after buying an additional 869 shares during the period.;Finally, First PREMIER Bank increased its holdings in iShares US Preferred Stock ETF by 175.2% in the 2nd quarter.;First PREMIER Bank now owns 1,365 shares of the company's stock worth $50,000 after buying an additional 869 shares during the period.;114.0;;0;114;115;249;<e1>Finally, First PREMIER Bank increased its holdings in iShares US Preferred Stock ETF by 175.2% in the 2nd quarter.</e1> <e2>First PREMIER Bank now owns 1,365 shares of the company's stock worth $50,000 after buying an additional 869 shares during the period.</e2>
0005.00008;NASDAQ:PFF traded up $0.10 during midday trading on Monday, hitting $37.51.;NASDAQ:PFF traded up $0.10 during midday trading on Monday;hitting $37.51.;;;0;58;60;75;<e1>NASDAQ:PFF traded up $0.10 during midday trading on Monday</e1>, <e2>hitting $37.51.</e2>
0006.00007;He said the company is well on track on attaining the Final Investment Decision (FID) on Train 7, which would see its production rise from 22mtpa to 30mtpa.;He said the company is well on track on attaining the Final Investment Decision (FID) on Train 7;its production rise from 22mtpa to 30mtpa.;;;0;96;114;156;<e1>He said the company is well on track on attaining the Final Investment Decision (FID) on Train 7</e1>, which would see <e2>its production rise from 22mtpa to 30mtpa.</e2>